MLSNUM,LISTPRICE,ZIP,BEDS,BATHS,SQFT
71498924,169900.0,01860,2,1.0,1283
71500500,279900.0,01524,2,2.0,1368
71595485,449900.0,01879,2,2.5,1850
71599223,389500.0,01970,2,2.0,1502
71661544,237000.0,01970,2,1.0,1469
71676394,239900.0,01007,2,2.0,1345
71677610,985000.0,02025,2,2.5,2945
71683436,509000.0,01749,3,2.5,2536
71683449,490000.0,01749,3,2.5,2687
71712376,180000.0,02045,2,2.0,1160
71741165,219990.0,01569,2,1.0,940
71742080,156000.0,01905,3,1.5,1449
71747247,175000.0,02719,2,1.5,1068
71748408,289900.0,01938,1,1.0,612
71752429,399000.0,01730,2,1.5,1069
71752443,259000.0,01730,1,1.0,827
71756095,165000.0,02673,2,2.0,943
71759728,210000.0,01913,2,2.5,1672
71762833,175000.0,02045,2,1.0,987
71765722,174999.0,02169,1,1.0,768
71770418,449000.0,01749,2,2.5,2175
71770420,445000.0,01749,2,2.5,2305
71771548,306400.0,01564,2,2.5,1899
71771642,369000.0,01749,2,2.5,1789
71772347,99900.0,02780,2,1.5,975
71773494,379000.0,01730,2,1.5,1126
71773511,176300.0,01583,3,2.0,1920
71773991,419999.0,01864,1,2.5,1800
71784269,84900.0,01524,1,1.0,763
71791399,174500.0,01907,2,1.0,830
71794202,515000.0,02184,2,2.0,1720
71794699,35000.0,01605,1,1.0,537
71796486,542000.0,02184,2,2.0,1720
71797668,86900.0,01863,2,1.5,726
71798562,175000.0,02150,2,1.0,870
71799699,264900.0,01752,2,2.0,1385
71799898,1595000.0,02445,2,2.5,2214
71800012,231000.0,01851,4,1.5,1500
71801031,265900.0,01749,2,2.0,1480
71801032,265900.0,01749,2,2.0,1480
71801039,265900.0,01749,2,2.0,1480
71801040,265900.0,01749,2,2.0,1480
71801047,265900.0,01749,2,2.0,1480
71801720,357900.0,01085,2,2.0,1632
71802837,279000.0,02671,2,2.0,988
71804013,319900.0,01902,3,2.5,2293
71804151,119900.0,02303,2,1.5,1146
71804229,219000.0,01970,2,1.0,1028
71805106,172600.0,02066,2,1.5,1616
71807105,401805.0,02780,3,2.5,2200
71807446,419900.0,02341,2,2.5,2600
71809975,179900.0,02122,3,1.0,1320
71810156,237900.0,01902,1,1.0,1020
71812387,411900.0,02171,2,2.0,1250
71812549,399900.0,01060,3,1.5,1762
71814372,505145.0,02184,2,2.0,1720
71814737,374990.0,01721,2,2.5,1920
71817265,242000.0,01001,2,2.0,1600
71817592,416500.0,02780,3,2.5,2200
71818699,154900.0,01420,2,1.5,1273
71820216,409900.0,02341,2,2.5,2142
71822617,120000.0,01876,2,1.0,960
71823712,799000.0,02127,2,2.0,1126
71824663,182500.0,01520,3,2.5,1709
71824770,209900.0,02359,2,1.5,1277
71824966,448300.0,01845,3,2.5,2448
71825235,1099000.0,02143,2,2.5,2001
71826489,189800.0,01569,3,2.5,1550
71827236,274900.0,02332,3,2.5,1574
71829538,550000.0,01985,3,2.5,1613
71829971,359800.0,01085,2,3.0,1989
71831961,658200.0,02116,2,1.0,1075
71832579,89900.0,02860,2,1.5,1248
71832610,229000.0,02536,2,1.5,1280
71832901,849000.0,01742,3,2.5,2365
71832908,869000.0,01742,3,2.5,2365
71834426,379900.0,01801,3,2.0,1200
71834633,105000.0,02780,1,1.0,885
71835658,164900.0,02762,2,1.5,1302
71836884,375000.0,01536,3,2.0,1886
71837038,55000.0,02745,2,1.0,734
71838792,92000.0,01879,2,1.0,627
71839970,115900.0,01604,2,1.5,1300
71841115,164900.0,02149,1,1.0,600
71842521,530000.0,02482,2,1.5,1246
71843302,525000.0,02124,2,2.0,1152
71844683,799000.0,02127,2,2.0,1310
71844805,149900.0,02351,1,1.0,738
71845224,75900.0,02718,2,1.0,851
71845682,679900.0,01730,3,2.5,3192
71845996,609000.0,01773,3,3.0,2673
71847350,180000.0,02356,2,2.5,1476
71847767,449900.0,01701,2,2.5,1852
71847774,459900.0,01701,2,2.5,1852
71847780,609900.0,01701,3,2.5,2564
71847812,539900.0,01701,3,2.5,2079
71847813,460000.0,01701,2,2.5,1848
71849155,269900.0,01013,2,2.0,1300
71849376,254900.0,01886,2,1.5,1294
71852302,257000.0,02176,2,2.0,1234
71852624,239900.0,02341,1,1.5,1680
71852654,250000.0,02724,3,2.5,1900
71853141,494900.0,01844,2,2.0,2035
71853478,529900.0,01757,2,3.0,2360
71853845,119900.0,01040,2,2.0,915
71853997,349900.0,01907,3,2.0,1479
71854084,3695000.0,02115,4,2.0,2796
71854162,383000.0,01581,2,2.5,2539
71855330,269900.0,01056,3,2.5,1664
71855709,144900.0,01468,3,1.5,1708
71855755,629000.0,02125,2,2.0,1168
71856383,185000.0,02766,2,1.5,1188
71856754,250000.0,01569,3,2.5,2026
71857020,375000.0,02135,1,1.0,697
71857934,279000.0,02072,3,2.5,2129
71857992,195000.0,02649,2,1.5,1404
71858409,734900.0,02472,3,2.5,2880
71859522,239000.0,02151,3,2.0,1300
71859560,169900.0,02780,3,1.5,1370
71859620,709900.0,01776,2,2.5,3100
71861213,429000.0,02341,2,2.5,2225
71862522,69900.0,06260,2,1.5,1200
71862803,1190000.0,02138,1,1.5,1133
71863042,299900.0,01970,2,1.0,875
71863136,146000.0,02563,2,1.5,1224
71863147,549000.0,01930,3,2.5,2362
71863280,879000.0,02118,1,1.0,988
71863342,226000.0,01913,2,2.5,1698
71863348,589000.0,02116,1,1.0,670
71863387,164900.0,02190,1,1.0,720
71863414,569900.0,02453,3,2.5,2180
71863631,1099000.0,02446,3,2.0,1551
71863984,660735.0,01776,1,2.0,1455
71864190,548800.0,01720,3,2.5,2266
71864771,144000.0,01826,2,1.0,1078
71864934,359000.0,01907,3,2.0,1475
71865329,200000.0,02360,1,1.0,800
71865521,189000.0,01879,2,1.5,1299
71865544,430000.0,02118,2,1.5,1150
